t,cells,biovolume,ammonium,C_cell,N_cell,amino_acids,chlA_fl,chlA_sp,chlC_sp,carotenoid
0,0.04,2,1.411,0.6,0.03,0.48,4,4,1,13
0.5,0.04,2.2,1.4,0.61,0.08,0.86,3,NA,NA,NA
1,0.04,2.1,1.383,0.58,0.08,0.72,3,NA,NA,NA
1.5,0.04,2.1,1.355,NA,0.12,1.02,3,NA,NA,NA
2,0.04,2.1,1.355,0.68,0.12,1.13,3,NA,NA,NA
2.5,0.05,2.6,1.35,0.66,NA,1.25,4,NA,NA,NA
3,0.05,NA,1.355,0.75,NA,1.93,6,NA,NA,NA
3.5,0.05,2.5,1.333,2.29,0.38,2.27,9,NA,NA,NA
4,0.04,2.1,1.316,2.91,0.92,2.29,9,NA,NA,NA
4.5,0.06,2.9,1.288,1.75,0.61,2.49,14,NA,NA,NA
5,0.05,2.3,1.288,1.49,0.26,2.77,14,NA,NA,NA
5.5,0.05,3.1,1.26,2.14,0.27,3.9,17,NA,NA,NA
6,0.1,4.4,1.257,1.58,0.64,4.14,18,NA,NA,NA
6.5,0.1,5.8,1.226,2.07,0.36,5.07,41,NA,NA,NA
7,0.15,7.4,1.226,2.04,0.36,5.4,41,NA,NA,NA
7.5,0.15,9.5,1.092,2.66,0.45,7.81,50,53,52,35
8,0.23,9.8,1.092,2.25,0.52,8.14,53,67,70,54
8.5,0.22,13.4,0.935,4.12,0.57,11.67,68,78,43,75
9,0.28,13.9,0.932,3.93,0.64,11.12,84,NA,NA,NA
9.5,0.29,18.6,0.806,5.03,0.72,15.76,133,148,46,134
10,0.45,18.9,0.795,4.42,0.6,16.14,133,152,55,134
10.5,0.46,31.3,0.577,6.06,0.74,24.39,178,205,75,192
11,0.66,28.1,0.566,5.69,0.79,23.16,210,227,80,201
11.5,0.66,41,0.274,8.42,1.01,32.66,255,283,104,240
12,0.89,38.6,0.291,8.46,1.29,34.13,255,290,115,243
12.5,0.89,54.8,0,11.29,1.37,41.36,323,376,129,320
13,1.11,51.6,0,11.51,1.56,39.02,336,410,152,369
13.5,1.13,59.8,0,13.83,1.53,32.42,377,434,160,408
14,1.33,62.2,0,13.91,1.61,34.73,399,385,148,387
14.5,1.33,67.8,0,15.95,1.52,32.07,377,468,164,486
15,1.47,70.1,0,15.06,1.53,33.43,413,493,181,533
15.5,1.5,76.2,0,20.03,1.6,36.44,440,518,206,597
16,1.5,76.5,0,16.4,1.43,35.46,395,478,167,557
16.5,1.64,85.2,0,18.74,1.44,39.91,439,515,195,644
17,1.82,93.3,0,18.03,1.54,34.12,399,468,136,594
18,1.98,87.9,0,NA,NA,NA,NA,NA,NA,NA
18.5,2,105.2,0,23.2,1.59,34.83,395,481,164,693
19,1.93,106.4,0,22.02,1.32,41.05,386,441,151,657
20,1.95,NA,0,NA,NA,NA,NA,NA,NA,NA
20.5,1.99,101.1,0,23.69,1.3,31.72,377,442,146,674
21,1.93,93.4,0,23.66,1.31,30.11,368,439,144,693
21.5,1.95,NA,0,NA,NA,NA,NA,NA,NA,NA
22,2,90.3,0,25.8,1.31,30.1,368,415,156,717
23,2,85.8,0,27.49,1.46,34.24,296,476,153,815
23.5,2,90.4,0,25.58,1.38,29.62,268,375,119,645
24,1.94,84.2,0,25.53,1.38,27.2,341,407,142,753
24.5,1.9,86.7,0,27.05,1.44,30.83,341,407,150,792
25,1.99,90.8,0,26.02,1.36,31.36,323,375,126,731
