time,par,"(0.0135,0.0138]","(0.0138,0.0141]","(0.0141,0.0144]","(0.0144,0.0148]","(0.0148,0.0151]","(0.0151,0.0155]","(0.0155,0.0158]","(0.0158,0.0162]","(0.0162,0.0166]","(0.0166,0.017]","(0.017,0.0174]","(0.0174,0.0178]","(0.0178,0.0182]","(0.0182,0.0186]","(0.0186,0.019]","(0.019,0.0195]","(0.0195,0.0199]","(0.0199,0.0204]","(0.0204,0.0209]","(0.0209,0.0214]","(0.0214,0.0219]","(0.0219,0.0224]","(0.0224,0.0229]","(0.0229,0.0235]","(0.0235,0.024]","(0.024,0.0246]","(0.0246,0.0251]","(0.0251,0.0257]","(0.0257,0.0263]","(0.0263,0.0269]","(0.0269,0.0276]","(0.0276,0.0282]","(0.0282,0.0289]","(0.0289,0.0295]","(0.0295,0.0302]","(0.0302,0.0309]","(0.0309,0.0317]","(0.0317,0.0324]","(0.0324,0.0332]","(0.0332,0.0339]","(0.0339,0.0347]","(0.0347,0.0355]","(0.0355,0.0364]","(0.0364,0.0372]","(0.0372,0.0381]","(0.0381,0.039]","(0.039,0.0399]","(0.0399,0.0408]","(0.0408,0.0418]","(0.0418,0.0428]","(0.0428,0.0438]","(0.0438,0.0448]","(0.0448,0.0458]","(0.0458,0.0469]","(0.0469,0.048]","(0.048,0.0491]","(0.0491,0.0503]","(0.0503,0.0514]","(0.0514,0.0526]","(0.0526,0.0539]","(0.0539,0.0551]","(0.0551,0.0564]","(0.0564,0.0577]","(0.0577,0.0591]","(0.0591,0.0605]","(0.0605,0.0619]","(0.0619,0.0633]","(0.0633,0.0648]","(0.0648,0.0663]","(0.0663,0.0679]","(0.0679,0.0695]","(0.0695,0.0711]","(0.0711,0.0728]","(0.0728,0.0745]","(0.0745,0.0762]","(0.0762,0.078]","(0.078,0.0798]","(0.0798,0.0817]","(0.0817,0.0836]","(0.0836,0.0855]","(0.0855,0.0875]","(0.0875,0.0896]","(0.0896,0.0917]","(0.0917,0.0938]","(0.0938,0.096]","(0.096,0.0982]","(0.0982,0.101]","(0.101,0.103]","(0.103,0.105]","(0.105,0.108]","(0.108,0.11]","(0.11,0.113]","(0.113,0.116]","(0.116,0.118]","(0.118,0.121]","(0.121,0.124]","(0.124,0.127]","(0.127,0.13]","(0.13,0.133]","(0.133,0.136]"
2015-07-27T00:00:02Z,1987.91,0,55.195,119.59,496.757,662.343,1168.299,1094.705,1444.275,1655.856,1987.028,2005.426,1858.239,2079.02,2437.789,2456.187,3017.338,2575.777,3578.49,3109.33,3366.908,3753.274,3698.079,3578.49,4194.836,3458.9,3725.677,3238.119,3900.462,3219.721,3100.131,3615.286,2962.143,3201.322,2695.366,3146.127,2952.944,3412.904,2410.191,2796.557,2446.988,2428.589,2382.593,2640.171,2217.008,2364.195,2354.996,2115.816,1600.661,1803.044,1793.844,1527.068,1168.299,1205.095,1177.498,1168.299,809.53,689.94,533.554,413.964,487.558,266.777,321.972,257.578,82.793,137.988,147.187,82.793,128.789,91.992,55.195,64.394,101.191,64.394,36.797,27.598,36.797,9.199,0,36.797,9.199,18.398,0,0,9.199,9.199,9.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-27T00:03:02Z,2137.93,0,36.839,119.726,377.598,792.035,1197.263,1077.536,1722.216,1473.554,2118.234,1657.748,2155.073,2256.38,2302.428,2541.881,2947.108,2633.978,3545.74,3343.126,3195.77,3573.369,4107.532,3527.32,4098.322,3241.819,3987.806,3278.658,3674.676,3398.384,2947.108,3785.192,3204.98,3333.916,2735.285,3094.464,2799.753,3094.464,2458.993,3251.029,2136.653,2449.784,2680.027,2753.704,2228.751,2311.638,2155.073,2081.395,1915.62,1906.411,1961.669,1832.733,1445.925,948.6,1206.472,865.713,745.987,699.938,635.47,359.179,442.066,313.13,331.55,322.34,313.13,248.662,202.614,193.404,211.823,119.726,73.678,36.839,110.517,46.049,36.839,18.419,9.21,27.629,27.629,27.629,18.419,0,9.21,0,0,9.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-27T00:06:02Z,1981.03,0,65.461,187.03,467.576,514.333,1430.782,935.151,1543,1739.381,1917.06,1926.412,2178.903,2066.684,2076.036,2552.963,3039.242,2870.915,3179.514,3749.957,3534.872,3918.284,3712.551,3385.248,4395.211,3029.89,3581.63,3329.139,3862.175,3104.702,3319.787,3282.381,3085.999,2852.212,3160.811,3422.654,3095.351,2964.43,2337.878,2927.024,2534.26,2365.933,2581.018,2852.212,2141.497,2403.339,2562.315,2085.387,1814.194,1926.412,1917.06,1440.133,1402.727,1168.939,1038.018,766.824,776.176,635.903,645.254,383.412,458.224,224.436,271.194,168.327,280.545,336.654,121.57,121.57,196.382,121.57,84.164,84.164,102.867,56.109,28.055,46.758,18.703,28.055,28.055,28.055,0,9.352,0,28.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-27T00:09:02Z,1967,0,55.954,130.559,354.375,606.168,1548.06,1305.593,1370.872,1818.504,1781.202,2014.343,2070.297,2107.6,2079.623,2471.301,3105.446,2704.442,3338.587,3469.147,3720.939,3273.308,3692.962,3208.028,4112.617,3301.285,3916.778,3002.863,3543.752,3515.775,3180.051,3553.077,3142.748,3385.216,2751.071,3170.725,2685.791,3338.587,2657.814,2713.768,2517.929,2331.416,2545.906,2629.837,2247.485,2228.833,2406.021,2172.879,1753.225,1958.389,1949.064,1557.386,1268.29,1193.685,1081.777,951.218,718.076,708.75,531.563,345.05,484.934,298.421,298.421,223.816,251.793,223.816,83.931,102.582,149.211,111.908,65.28,55.954,55.954,55.954,74.605,27.977,18.651,9.326,9.326,27.977,18.651,0,9.326,0,18.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-27T00:12:02Z,2041.37,0,56.81,208.304,435.544,785.873,1240.353,1126.733,1505.467,1732.707,1912.606,2234.53,1978.884,2310.276,2423.896,2499.643,3058.276,2603.795,3247.642,3408.604,3560.098,3332.858,3512.756,3086.681,4203.945,3257.111,3673.718,3427.541,3342.326,3730.528,3020.402,3702.123,3332.858,3115.086,2546.985,2821.567,2897.314,3115.086,2518.58,3001.465,2404.96,2745.82,2736.352,2518.58,2253.466,2281.871,2291.34,2272.403,1941.011,1969.416,1912.606,1628.555,1372.91,1240.353,1079.391,1003.645,757.468,785.873,568.101,416.607,520.759,284.05,274.582,265.114,189.367,255.645,246.177,75.747,151.494,85.215,104.152,56.81,85.215,85.215,47.342,47.342,47.342,9.468,0,37.873,37.873,9.468,0,18.937,9.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-27T00:15:03Z,2054.12,0,156.856,184.536,387.526,719.691,1337.887,1116.444,1457.836,1577.784,1753.094,1891.496,2112.939,2214.434,2214.434,2334.383,2841.857,2592.733,3663.043,3174.022,3174.022,3478.507,3552.322,3543.095,4188.971,3644.59,3663.043,3109.435,3755.311,3524.641,3164.796,3524.641,3127.888,3293.971,2601.96,3423.146,3063.301,3220.156,2611.187,2509.692,2232.888,2306.702,2574.28,2362.063,2048.352,2611.187,2565.053,2195.981,1790.001,1836.135,1790.001,1651.599,1291.753,1097.99,1181.032,1079.537,922.681,839.64,682.784,415.206,452.114,313.712,304.485,212.217,286.031,230.67,119.949,156.856,147.629,83.041,92.268,55.361,27.68,46.134,46.134,36.907,55.361,36.907,18.454,27.68,9.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-27T00:18:03Z,2030.19,0,75.736,94.67,388.149,691.094,1334.853,1117.111,1637.799,1552.595,2101.684,1874.475,2082.75,2111.151,2243.689,2537.168,3114.658,2840.113,3322.933,3446.004,3266.13,3588.01,3730.015,3540.675,4468.445,3370.268,3853.087,3635.345,3824.686,3474.405,3218.795,3748.949,3237.729,3010.52,2915.85,3303.998,2612.904,3275.597,2896.916,2698.108,2253.157,2735.976,2754.91,2546.635,2272.091,2149.019,2565.569,2044.882,1912.343,2044.882,1732.469,1779.804,1514.727,1183.381,1126.578,927.77,804.699,757.364,605.891,463.885,359.748,331.347,265.077,236.676,198.808,227.209,142.006,198.808,170.407,94.67,113.605,132.539,56.802,37.868,28.401,56.802,56.802,18.934,0,37.868,18.934,9.467,18.934,9.467,18.934,0,9.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-27T00:21:03Z,1990.93,0,74.906,140.45,458.802,702.248,1282.774,1011.238,1638.579,1685.396,1797.756,1985.022,2368.918,2350.191,2153.561,2593.637,2780.903,2631.09,3277.159,3295.885,3820.231,3211.615,3604.875,3445.698,4185.4,2958.806,3885.774,2911.99,3735.961,3333.339,3267.795,3689.144,2893.263,3436.335,2874.536,3202.252,2799.63,3398.882,2368.918,2883.9,2443.824,2350.191,2930.716,2855.81,2247.195,2368.918,2453.187,1938.205,1872.662,2125.471,1938.205,1704.123,1254.684,1338.953,1301.5,1104.871,655.432,777.155,589.889,589.889,374.532,402.622,346.442,290.263,243.446,224.719,159.176,121.723,121.723,131.086,56.18,93.633,46.817,74.906,65.543,46.817,18.727,18.727,18.727,18.727,0,46.817,9.363,9.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-27T00:24:03Z,2015.66,0,56.774,151.397,283.869,738.059,1523.43,1144.938,1599.128,1589.666,1845.148,1882.997,1807.298,2091.167,2431.81,2507.508,2999.548,2498.046,3576.748,3482.125,3718.682,3595.672,3907.928,3378.039,3784.918,3406.426,4040.4,3255.029,3690.295,3491.587,3236.105,3699.757,2933.311,3150.944,2564.282,3226.643,3236.105,3283.416,2734.603,2923.849,2677.829,2706.216,2592.669,2715.679,2110.092,2431.81,2611.593,2223.639,1854.61,1873.534,1968.157,1599.128,1476.118,1201.711,1154.4,1040.852,898.918,870.531,567.738,501.502,378.492,350.105,274.407,264.944,312.256,293.331,198.708,123.01,160.859,113.548,94.623,151.397,66.236,66.236,28.387,28.387,56.774,9.462,37.849,9.462,0,0,9.462,9.462,9.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-27T00:27:04Z,1732.93,0,66.433,47.452,351.146,588.407,1300.19,1062.929,1594.393,1556.432,1793.692,1774.712,2087.896,2135.348,1992.992,2714.265,3321.653,2458.023,2942.035,3407.067,3653.818,3539.933,3786.684,3046.43,4185.282,3407.067,3843.627,3122.353,3549.423,3587.385,2998.978,3369.105,2970.506,3160.315,2866.112,3169.806,2828.15,3264.71,2382.099,2543.437,2657.322,2505.475,2761.717,2818.659,2514.966,2571.908,2780.698,2391.59,1992.992,2230.252,2125.858,1584.903,1537.451,1319.171,1376.113,1024.967,987.005,854.139,550.445,474.522,502.993,303.694,389.108,284.713,294.204,256.242,132.866,142.357,199.299,151.847,75.923,75.923,56.943,66.433,47.452,28.471,9.49,47.452,37.962,28.471,0,9.49,9.49,0,9.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
