time (days),NO3 (mg N/m3),P (mg N/m3),Z (mg N/m3)
1.0000,0.2880,0.0379,0.0100
8.0000,0.3596,0.0644,0.0006
15.0000,0.3569,0.0501,0.0073
22.0000,0.4147,0.0343,0.0328
29.0000,0.5691,0.0558,0.0016
36.0000,0.6366,0.0451,0.0065
43.0000,0.7137,0.0722,0.0051
50.0000,0.6945,0.0333,0.0105
57.0000,0.2935,0.0443,0.0046
64.0000,0.5649,0.0426,0.0121
71.0000,0.7702,0.0275,0.0273
78.0000,0.5677,0.0204,0.0203
92.0000,0.6765,0.0145,0.0296
99.0000,0.5346,0.0136,0.0130
106.0000,0.6407,0.0157,0.0625
113.0000,0.6573,0.0350,0.0221
120.0000,0.7716,0.0649,0.0161
127.0000,0.6752,0.0563,0.1148
134.0000,0.7234,0.0667,0.0256
148.0000,0.0331,0.3547,0.0403
155.0000,0.0331,0.2260,0.1180
162.0000,0.0592,0.2085,0.0468
169.0000,0.0220,0.0399,0.0261
176.0000,0.0234,0.0923,0.0403
183.0000,0.0255,0.0418,0.0743
190.0000,0.0131,0.1845,0.2186
197.0000,0.0241,0.1092,0.1471
211.0000,0.0069,0.0860,0.1370
218.0000,0.0000,0.1364,0.1135
225.0000,0.0041,0.0676,0.0851
232.0000,0.0090,0.1085,0.1231
239.0000,0.0179,0.1770,0.1878
246.0000,0.0117,0.1137,0.0611
253.0000,0.0269,0.2453,0.1368
260.0000,0.0386,0.1548,0.1133
267.0000,0.0179,0.1597,0.0920
274.0000,0.0117,0.0937,0.1356
281.0000,0.0138,0.0842,0.2183
288.0000,0.0179,0.1759,0.2913
295.0000,0.0124,0.2156,0.1743
302.0000,0.0310,0.0352,0.0001
309.0000,0.0186,0.1554,0.0001
316.0000,0.0165,0.1936,0.0001
337.0000,0.0441,0.0572,0.0143
344.0000,0.0131,0.2328,0.0611
351.0000,0.0696,0.0826,0.0323
358.0000,0.0572,0.2346,0.0081
365.0000,0.0675,0.0358,0.0043
372.0000,0.0654,0.2868,0.0208
386.0000,0.0393,0.1050,0.0098
393.0000,0.0324,0.1271,0.0033
400.0000,0.0496,0.0822,0.0418
407.0000,0.0592,0.0701,0.0153
421.0000,0.0400,0.1171,0.0376
428.0000,0.0978,0.0451,0.0168
435.0000,0.1233,0.0179,0.0428
442.0000,0.4265,0.0173,0.0313
456.0000,0.5925,0.0188,0.2049
463.0000,0.4871,0.0161,0.0849
470.0000,0.5202,0.0114,0.0521
477.0000,0.5980,0.0163,0.1034
